id;customer_id;"number";items_total;shipping_total;adjustments_total;total;"currency";"notes";"checkout_completed_at";"created_at";"updated_at";address_id;ad_payment_type_id;"cancelled_at";"payment_status";"rrule";"child_order"
10;40;"XYZZ0020-1422191709";38.46;3.9;0;42.36;"EUR";NULL;NULL;"2019-09-09 22:14:17";"2019-09-09 22:20:23";735;3;NULL;"pending";NULL;NULL
13;41;"XYZZ0043-2700191509";2.45;3.9;0;6.35;"EUR";NULL;"2019-09-10 00:27:42";"2019-09-10 00:27:15";"2019-09-10 00:27:42";739;3;NULL;"paid";NULL;NULL
15;41;"XYZZ0046-3916193009";58.72;0;0;58.72;"EUR";NULL;NULL;"2019-09-10 16:39:30";"2019-09-10 16:39:43";741;3;NULL;"pending";NULL;NULL
19;42;"XYZZ0054-3519190509";73.21;0;0;73.21;"EUR";NULL;NULL;"2019-09-17 19:35:05";"2019-09-17 19:35:05";746;6;NULL;"pending";NULL;NULL
22;43;"XYZZ0033-4307190609";73.21;0;0;73.21;"EUR";NULL;"2019-09-18 07:44:50";"2019-09-18 07:43:06";"2019-09-18 07:44:50";751;3;NULL;"paid";NULL;NULL
23;44;"XYZZ0061-2314195909";89;0;0;89;"EUR";NULL;"2019-09-18 14:28:04";"2019-09-18 14:23:59";"2019-09-18 14:28:04";753;3;NULL;"paid";NULL;NULL
24;45;"XYZZ0039-2318194709";19.1;3.9;0;23;"EUR";NULL;"2019-09-18 18:25:51";"2019-09-18 18:23:47";"2019-09-18 18:25:51";755;3;NULL;"paid";NULL;NULL
32;46;"XYZZ0048-1820192109";48.88;0;0;48.88;"EUR";NULL;"2019-09-18 20:22:20";"2019-09-18 20:18:21";"2019-09-18 20:22:20";764;4;NULL;"paid";NULL;NULL
35;47;"XYZZ0083-5320191909";47.04;0;0;47.04;"EUR";NULL;"2019-09-18 20:54:07";"2019-09-18 20:53:19";"2019-09-18 20:54:07";768;3;NULL;"paid";NULL;NULL
38;49;"XYZZ0056-5401194209";10.04;3.9;0;13.94;"EUR";NULL;NULL;"2019-09-19 01:54:42";"2019-09-19 01:54:42";773;4;NULL;"pending";NULL;NULL
41;51;"XYZZ0094-5313195109";42.08;0;0;42.08;"EUR";NULL;"2019-09-19 13:55:09";"2019-09-19 13:53:51";"2019-09-19 13:55:09";778;3;NULL;"paid";NULL;NULL
44;53;"XYZZ0061-3515194009";28.04;3.9;0;31.94;"EUR";NULL;"2019-09-19 15:38:51";"2019-09-19 15:35:40";"2019-09-19 15:38:51";783;3;NULL;"paid";NULL;NULL
47;52;"XYZZ0105-4515190309";69.43;0;0;69.43;"EUR";NULL;"2019-09-19 15:49:21";"2019-09-19 15:45:03";"2019-09-19 15:49:21";787;4;NULL;"paid";NULL;NULL
48;54;"XYZZ0067-3716195709";28.55;3.9;0;32.45;"EUR";NULL;NULL;"2019-09-19 16:37:57";"2019-09-19 16:37:57";789;4;NULL;"pending";NULL;NULL
49;55;"XYZZ0109-4116192709";88.69;0;0;88.69;"EUR";NULL;"2019-09-19 16:42:21";"2019-09-19 16:41:27";"2019-09-19 16:42:21";791;3;NULL;"paid";NULL;NULL
50;56;"XYZZ0068-4916194409";9.42;3.9;0;13.32;"EUR";NULL;"2019-09-19 16:51:21";"2019-09-19 16:49:44";"2019-09-19 16:51:21";793;3;NULL;"paid";NULL;NULL
51;57;"XYZZ0112-5716190609";73.38;0;0;73.38;"EUR";NULL;"2019-09-19 17:00:30";"2019-09-19 16:57:06";"2019-09-19 17:00:30";795;4;NULL;"paid";NULL;NULL
52;58;"XYZZ0069-2117192409";74.14;0;0;74.14;"EUR";NULL;"2019-09-19 17:22:18";"2019-09-19 17:21:24";"2019-09-19 17:22:18";798;3;NULL;"paid";NULL;NULL
54;59;"XYZZ0067-2417194409";47.94;0;0;47.94;"EUR";NULL;"2019-09-19 17:29:07";"2019-09-19 17:24:44";"2019-09-19 17:29:07";801;4;NULL;"paid";NULL;NULL
55;60;"XYZZ0120-4117191209";82.78;0;0;82.78;"EUR";NULL;"2019-09-19 17:42:29";"2019-09-19 17:41:12";"2019-09-19 17:42:29";803;3;NULL;"paid";NULL;NULL
56;61;"XYZZ0074-4918193809";88.65;0;0;88.65;"EUR";NULL;NULL;"2019-09-19 18:49:38";"2019-09-19 18:49:38";805;4;NULL;"pending";NULL;NULL
