id;ad_order_id;vendor_id;"number";items_total;shipping_total;adjustments_total;total;"currency";"shipment_completed_at";"created_at";"updated_at";"payment_status"
1;13;6;"XYZZ0043-27001915091";2.45;3.9;0;6.35;"EUR";NULL;"2019-09-10 00:27:42";"2019-09-10 00:27:42";"paid"
2;22;6;"XYZZ0033-43071906091";73.21;0;0;73.21;"EUR";NULL;"2019-09-18 07:44:50";"2019-09-18 07:44:50";"paid"
3;23;6;"XYZZ0061-23141959091";89;0;0;89;"EUR";NULL;"2019-09-18 14:25:17";"2019-09-18 14:25:17";"paid"
5;24;6;"XYZZ0039-23181947091";19.1;3.9;0;23;"EUR";NULL;"2019-09-18 18:25:51";"2019-09-18 18:25:51";"paid"
6;32;6;"XYZZ0048-18201921091";48.88;0;0;48.88;"EUR";NULL;"2019-09-18 20:22:20";"2019-09-18 20:22:20";"paid"
7;35;6;"XYZZ0083-53201919091";47.04;0;0;47.04;"EUR";NULL;"2019-09-18 20:54:07";"2019-09-18 20:54:07";"paid"
8;41;6;"XYZZ0094-53131951091";42.08;0;0;42.08;"EUR";NULL;"2019-09-19 13:55:09";"2019-09-19 13:55:09";"paid"
9;44;6;"XYZZ0061-35151940091";28.04;3.9;0;31.94;"EUR";NULL;"2019-09-19 15:38:51";"2019-09-19 15:38:51";"paid"
10;47;6;"XYZZ0105-45151903091";69.43;0;0;69.43;"EUR";NULL;"2019-09-19 15:49:21";"2019-09-19 15:49:21";"paid"
11;49;6;"XYZZ0109-41161927091";88.69;0;0;88.69;"EUR";NULL;"2019-09-19 16:42:21";"2019-09-19 16:42:21";"paid"
12;50;6;"XYZZ0068-49161944091";9.42;3.9;0;13.32;"EUR";NULL;"2019-09-19 16:51:21";"2019-09-19 16:51:21";"paid"
13;51;6;"XYZZ0112-57161906091";73.38;0;0;73.38;"EUR";NULL;"2019-09-19 17:00:30";"2019-09-19 17:00:30";"paid"
14;52;6;"XYZZ0069-21171924091";74.14;0;0;74.14;"EUR";NULL;"2019-09-19 17:22:18";"2019-09-19 17:22:18";"paid"
15;54;6;"XYZZ0067-24171944091";47.94;0;0;47.94;"EUR";NULL;"2019-09-19 17:29:07";"2019-09-19 17:29:07";"paid"
16;55;6;"XYZZ0120-41171912091";82.78;0;0;82.78;"EUR";NULL;"2019-09-19 17:42:29";"2019-09-19 17:42:29";"paid"
17;61;6;"XYZZ0131-48201937091";52.37;0;0;52.37;"EUR";NULL;"2019-09-19 20:53:08";"2019-09-19 20:53:08";"paid"
18;63;6;"XYZZ0134-41211913091";67;0;0;67;"EUR";NULL;"2019-09-19 21:49:53";"2019-09-19 21:49:53";"paid"
19;70;6;"XYZZ0090-29221942091";53.6;0;0;53.6;"EUR";NULL;"2019-09-19 22:30:43";"2019-09-19 22:30:43";"paid"
20;72;6;"XYZZ0091-45221944091";40.98;0;0;40.98;"EUR";NULL;"2019-09-19 22:49:12";"2019-09-19 22:49:12";"paid"
21;76;6;"XYZZ0097-19231930091";20.24;3.9;0;24.14;"EUR";NULL;"2019-09-19 23:21:21";"2019-09-19 23:21:21";"paid"
22;79;6;"XYZZ0164-37231952091";41.39;0;0;41.39;"EUR";NULL;"2019-09-19 23:39:43";"2019-09-19 23:39:43";"paid"
24;88;6;"XYZZ0114-29041931091";82.78;0;0;82.78;"EUR";NULL;"2019-09-20 04:33:48";"2019-09-20 04:33:48";"paid"
25;95;6;"XYZZ0193-57081919091";19.8;3.9;0;23.7;"EUR";NULL;"2019-09-20 09:02:29";"2019-09-20 09:02:29";"paid"
26;97;6;"XYZZ0196-22091935091";125.99;0;0;125.99;"EUR";NULL;"2019-09-20 09:26:48";"2019-09-20 09:26:48";"paid"
27;98;6;"XYZZ0121-42091923091";125.99;0;0;125.99;"EUR";NULL;"2019-09-20 09:43:27";"2019-09-20 09:43:27";"paid"
28;100;6;"XYZZ0126-49091912091";46.1;0;0;46.1;"EUR";NULL;"2019-09-20 09:51:31";"2019-09-20 09:51:31";"paid"
29;101;6;"XYZZ0204-18101931091";82.78;0;0;82.78;"EUR";NULL;"2019-09-20 10:19:47";"2019-09-20 10:19:47";"paid"
