id;ad_order_assignment_id;product_id;quantity;unit_price;units_total;tax_rate;adjustments_total;total;address_id;"uid";"fulfillment_status";"status";"cancel_reason";"created_at";"updated_at";"id_offer"
1;1;84662;1;2.45;2.45;19;0;2.45;739;"FYMudh7Ji76";"not_started";"canceled";"general_adjustment";"2019-09-10 00:27:43";"2019-09-23 16:54:32";"REk5poFPF6cOwlUQ"
2;2;196272;1;73.21;73.21;19;0;73.21;751;"GzMzC0C329";"fulfilled";"shipped";NULL;"2019-09-18 07:44:50";"2019-09-19 22:53:03";"npu1ddNKvJeGkYgL"
3;3;196272;1;89;89;19;0;89;753;"5f51FyWCvqaq";"fulfilled";"shipped";NULL;"2019-09-18 14:25:17";"2019-09-19 22:53:15";"npu1ddNKvJeGkYgL"
5;5;108467;1;19.1;19.1;7;0;19.1;755;"GQxn8tW964";"fulfilled";"shipped";NULL;"2019-09-18 18:25:51";"2019-09-19 22:53:23";"GTUkyXvPLglhQfAHHWn"
6;6;257877;2;24.44;48.88;19;0;48.88;764;"gGXvTaq9s1d";"fulfilled";"shipped";NULL;"2019-09-18 20:22:20";"2019-09-19 22:53:30";"u764QamWicI402kV"
7;7;317298;4;11.76;47.04;19;0;47.04;768;"jIzaA126ryBM";"fulfilled";"shipped";NULL;"2019-09-18 20:54:07";"2019-09-19 22:53:37";"FgPuf1Dco6oYNtYa6Ed9"
8;8;79734;2;20.24;40.48;19;0;40.48;778;"TtVSYm4ezp9";"fulfilled";"shipped";NULL;"2019-09-19 13:55:09";"2019-09-23 15:32:44";"vV2yDY1WHZCc5Pcysn"
9;8;80504;2;0.8;1.6;19;0;1.6;778;"oBdX2wSTsmIw";"fulfilled";"shipped";NULL;"2019-09-19 13:55:09";"2019-09-23 15:32:44";"65PpBxwrZp4ee4kqPu"
10;9;205378;1;14.24;14.24;19;0;14.24;784;"tQ6OAoNNrG";"fulfilled";"shipped";NULL;"2019-09-19 15:38:51";"2019-09-23 15:40:20";"4Q28St5AfN6Jh9gOmDn"
11;9;80213;1;10.85;10.85;19;0;10.85;784;"Ut13oYJfrKng";"fulfilled";"shipped";NULL;"2019-09-19 15:38:51";"2019-09-23 15:40:20";"Ui7y7ZHZu7lFr7t"
12;9;80294;1;2.95;2.95;7;0;2.95;784;"URoQWv2I6o5G";"fulfilled";"shipped";NULL;"2019-09-19 15:38:51";"2019-09-23 15:40:20";"1S2Np9KBtcB7gRHpd"
13;10;79734;2;20.24;40.48;19;0;40.48;787;"aCX5yEIlCJ";"fulfilled";"shipped";NULL;"2019-09-19 15:49:21";"2019-09-23 15:31:44";"vV2yDY1WHZCc5Pcysn"
14;10;81722;1;2.15;2.15;19;0;2.15;787;"OZw1ZwRJJoQ";"fulfilled";"shipped";NULL;"2019-09-19 15:49:21";"2019-09-23 15:31:44";"bVUVuD70Noy9GwRywMK"
15;10;79938;2;13.4;26.8;19;0;26.8;787;"zlVRWiYhKa";"fulfilled";"shipped";NULL;"2019-09-19 15:49:21";"2019-09-23 15:31:44";"pmHMCR8ZGhkuxIaGxv"
16;11;79734;1;20.24;20.24;19;0;20.24;791;"xCznuNLtRTq";"fulfilled";"shipped";NULL;"2019-09-19 16:42:21";"2019-09-23 15:36:24";"vV2yDY1WHZCc5Pcysn"
17;11;84918;1;26.73;26.73;19;0;26.73;791;"H3iMHhS9Ocl";"fulfilled";"shipped";NULL;"2019-09-19 16:42:21";"2019-09-23 15:36:24";"9zp6bLPIpgqVE6DF1T6B"
18;11;79938;1;13.4;13.4;19;0;13.4;791;"UIftWxhaiU2o";"fulfilled";"shipped";NULL;"2019-09-19 16:42:21";"2019-09-23 15:36:24";"pmHMCR8ZGhkuxIaGxv"
