id;ad_order_id;product_id;quantity;unit_price;units_total;adjustments_total;total;immutable;vendor_id;address_id;tax_rate;"shipment_completed_at";"id_offer"
13;10;222;2;19.23;38.46;0;38.46;0;6;735;19;NULL;"DHR45kDayyS9ShW"
16;13;84662;1;2.45;2.45;0;2.45;0;6;739;19;NULL;"REk5poFPF6cOwlUQ"
19;15;243783;1;21.42;21.42;0;21.42;0;6;741;7;NULL;"SNhJcYTMicYd8ObgB"
20;15;79541;1;37.3;37.3;0;37.3;0;6;741;7;NULL;"Ne2LlT6c0cGBtba"
24;19;196272;1;73.21;73.21;0;73.21;0;6;746;19;NULL;"npu1ddNKvJeGkYgL"
27;22;196272;1;73.21;73.21;0;73.21;0;6;751;19;NULL;"npu1ddNKvJeGkYgL"
28;23;196272;1;89;89;0;89;0;6;753;19;NULL;"npu1ddNKvJeGkYgL"
29;24;108467;1;19.1;19.1;0;19.1;0;6;755;7;NULL;"GTUkyXvPLglhQfAHHWn"
37;32;257877;2;24.44;48.88;0;48.88;0;6;764;19;NULL;"u764QamWicI402kV"
40;35;317298;4;11.76;47.04;0;47.04;0;6;768;19;NULL;"FgPuf1Dco6oYNtYa6Ed9"
43;38;118857;1;10.04;10.04;0;10.04;0;6;773;19;NULL;"7JM3bjA6Qq8eZIY"
46;41;79734;2;20.24;40.48;0;40.48;0;6;778;19;NULL;"vV2yDY1WHZCc5Pcysn"
47;41;80504;2;0.8;1.6;0;1.6;0;6;778;19;NULL;"65PpBxwrZp4ee4kqPu"
54;44;205378;1;14.24;14.24;0;14.24;0;6;784;19;NULL;"4Q28St5AfN6Jh9gOmDn"
55;44;80213;1;10.85;10.85;0;10.85;0;6;784;19;NULL;"Ui7y7ZHZu7lFr7t"
56;44;80294;1;2.95;2.95;0;2.95;0;6;784;7;NULL;"1S2Np9KBtcB7gRHpd"
63;47;79734;2;20.24;40.48;0;40.48;0;6;787;19;NULL;"vV2yDY1WHZCc5Pcysn"
64;47;81722;1;2.15;2.15;0;2.15;0;6;787;19;NULL;"bVUVuD70Noy9GwRywMK"
65;47;79938;2;13.4;26.8;0;26.8;0;6;787;19;NULL;"pmHMCR8ZGhkuxIaGxv"
66;48;79415;1;16.07;16.07;0;16.07;0;6;789;19;NULL;"s0vooABeeZDdeZI"
67;48;80160;1;12.48;12.48;0;12.48;0;6;789;19;NULL;"Ut8oRNvSunqr3iio7"
68;49;79734;1;20.24;20.24;0;20.24;0;6;791;19;NULL;"vV2yDY1WHZCc5Pcysn"
69;49;84918;1;26.73;26.73;0;26.73;0;6;791;19;NULL;"9zp6bLPIpgqVE6DF1T6B"
70;49;79938;1;13.4;13.4;0;13.4;0;6;791;19;NULL;"pmHMCR8ZGhkuxIaGxv"
71;49;311225;1;28.32;28.32;0;28.32;0;6;791;19;NULL;"PHad78WwuRD56Hf6iAf"
72;50;102202;2;4.71;9.42;0;9.42;0;6;793;19;NULL;"zul1U3kYHJXmMGi1J"
73;51;116295;1;10.49;10.49;0;10.49;0;6;796;19;NULL;"9qhlzFuFHdHyO9S5rK"
74;51;79730;1;21.5;21.5;0;21.5;0;6;796;19;NULL;"Kh9NNfZtXHeZW9ePvQn"
75;51;79766;1;41.39;41.39;0;41.39;0;6;796;19;NULL;"e2hvCNXHLzvjY3VbN"
76;52;85306;2;3.3;6.6;0;6.6;0;6;798;19;NULL;"zSIIs819vwxYY8As"
77;52;79938;4;13.4;53.6;0;53.6;0;6;798;19;NULL;"pmHMCR8ZGhkuxIaGxv"
78;52;445664;1;13.94;13.94;0;13.94;0;6;798;19;NULL;"tR2bD7cI2w6fsrtWnF"
82;54;82355;4;3.44;13.76;0;13.76;0;6;801;19;NULL;"unbmY0l1VDrCny0Pc6Qb"
83;54;79734;1;20.24;20.24;0;20.24;0;6;801;19;NULL;"vV2yDY1WHZCc5Pcysn"
84;54;445664;1;13.94;13.94;0;13.94;0;6;801;19;NULL;"tR2bD7cI2w6fsrtWnF"
85;55;79766;2;41.39;82.78;0;82.78;0;6;803;19;NULL;"e2hvCNXHLzvjY3VbN"
